,address,description,name,value
435,"Off Mai Mahiu road, Longonot, Longonot, Rift Valley",1 Land Size (m²),NAIVASHA LONGONOT GATE - 0.5 ACRE .,KSh 6000000
436,"Gitanga Rd Maziwa, Lavington, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment / Flat For Sale In Lavington,KSh 32000000
437,"Silanga Road, Karen, Nairobi, Nairobi",6 Bedrooms,6 Bedroom House for Sale in Karen,KSh 79000000
438,"Riara Rd Maziwa, Lavington, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Apartment / Flat For Sale In Lavington,KSh 16500000
439,"Kirawa Rad, Kitisuru, Nairobi, Nairobi",4 Bedrooms,Elegant House in Kitisuru(Kihingo Village),KSh 135000000
440,"Banana - Tigoni Road, Limuru Township, Limuru Township, Central",1 Bedrooms,1 Bedroom House For Sale In Tigoni Limuru Fronting Tarmac,KSh 17000000
441,"Muthaiga, Muthaiga, Nairobi, Nairobi",4 Bedrooms,Attention grabber Muthaiga mansion!,KSh 140000000
442,"Mararo Avenue, Lavington, Nairobi, Nairobi",3 Bedrooms,Beautiful Apartments In Lavington,KSh 22000000
443,"Runda, Runda, Nairobi, Nairobi",4 Bedrooms,Upscale retreat! Kiambu road Runda Paradise,KSh 24000000
444,"Mombasa Rd, Mombasa, Mombasa, Coast",2 Bedrooms,Luxurious 2 Bedroom Apartment In Athi River,KSh 4290000
445,"Kileleshwa, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment- Kileleshwa,KSh 13000000
446,"Juja, Juja, Kiambu, Central",3 Bedrooms,3 Bedroom Penthouse,KSh 8000000
447,"Kiambere rd, Upper Hill, Nairobi, Nairobi",100 Rooms (total),Prime Office Development In Upper Hill For Sale,KSh 14500000
448,"stedmark gardens, Karen, Nairobi, Nairobi",30351 Land Size (m²),7.5 Acres Prime Land For Sale In Karen,KSh 35000000
449,"Thindigua kiambu, Kiambu Road, Nairobi, Nairobi",3 Bedrooms,"Off Plan 3 Bedroom Apartment For Sale In Thindigua, Kiambu",KSh 12500000
450,"Riara Road, Lavington, Nairobi, Nairobi",4 Bedrooms,Lavington Luxury Penthouse,KSh 45000000
451,"Juja, Juja, Kiambu, Central",461 Land Size (m²),"Juja Edge Gated Community, Plots for sale",KSh 595000
452,"Riverside Drive, Riverside, Nairobi, Nairobi",3 Bedrooms,"Stunning 3 Bedrooms Apartments, Riverside",KSh 38000000
453,"Kileleshwa, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment At Makueni Road Kileleshwa,KSh 13500000
454,"Riara Road, Kilimani, Nairobi, Nairobi",3 Bedrooms,Sherwood High Quality 3 Bedrooms For Sale On Riara Road Lavington,KSh 18000000
455,"Industrial Area, Industrial Area, Nairobi, Nairobi",10 Rooms (total),Commercial Office for Sale in Industrial Area - 3KE1326302,KSh 250000000
456,"Vihiga Road, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment / Flat For Sale In Kileleshwa,KSh 25000000
457,"Oloitoktok Road, Lavington, Nairobi, Nairobi",3 Bedrooms,"Quality Finish 3 Bedrooms Fully Furnished For Sale In Lavington, Near Valley Arcade.",KSh 29000000
458,"Lavington, Lavington, Nairobi, Nairobi",3 Bedrooms,Truly Beautiful Apartment For Sale - Lavington,KSh 22000000
459,"kirichwa road, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom To Let At Argwings Khodek Road Kilimani,KSh 95000
460,"Thindigua Hwy St, Kiambu Road, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment / Flat For Sale In Kiambu Road,KSh 12500000
461,"Limuru Township, Limuru Township, Limuru Township, Central",8094 Land Size (m²),Lush 2 Acres  of Residential Land for sale  in Limuru-3ke1232615,KSh 26000000
462,"Off Gitanga road., Lavington, Nairobi, Nairobi",5 Bedrooms,LAVINGTON - 5 BEDROOMS  TOWN HOUSE.,KSh 65000000
463,"Denis Pritt Road, Kilimani, Nairobi, Nairobi",2 Bedrooms,Splendid 2&3 Bedroom Apartments For Sale On Denis Pritt,KSh 14500000
464,"Mpaka road, Westlands, Westlands, Nairobi, Nairobi",2 Bedrooms,"Elegant 2 Bedroom Apartment On Mpaka Road, Westlands",KSh 24500000
465,"Kilimani, Nairobi, Nairobi",2 Bedrooms,"Elegant 2&3 Bedroom Apartment For Sale, Kilimani",KSh 14500000
466,"Kitengela, Isinya, Isinya, Rift Valley",506 Land Size (m²),1/8 Prime Plots for sale  in Kitengela,KSh 2000000
467,"Land For Sale In Karen, Karen, Nairobi, Nairobi",2711 Land Size (m²),Land for sale  in Karen,KSh 35000000
468,"Githunguri road., Kileleshwa, Nairobi, Nairobi",4 Bedrooms,Kileleshwa - 4 Bedroom Pent House.,KSh 47000000
469,"madaraka, Madaraka, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Madaraka,KSh 11000000
470,"Lavington, Nairobi, Nairobi",3 Bedrooms,New 3 & 4 Bedroom Apartments,KSh 19000000
471,"Karen, Karen, Nairobi, Nairobi",4000 Land Size (m²),1 Acre Vacant Land for sale  in Karen-3ke1500001,KSh 60000000
472,"Arwings kodhek road, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom All Ensuite Apartment For Sale In Kilimani.,KSh 30000000
473,"Juja, Juja, Kiambu, Central",2 Bedrooms,Aluring 2 Bedroom Apartments For Sale In Juja,KSh 5000000
474,"Riabai Road, Kiambu Township, Kiambu, Central",2 Bedrooms,2 Bedrooms For Sale Within Golf Estate Gated Community In Kiambu,KSh 9000000
475,"Argwings Kodhek, Hurlingham, Nairobi, Nairobi",3 Bedrooms,Kings Distinction Fully Furnished 3 Bed Apartments (Book Now And Get A 3 Nights Trip To India Or Dubai),KSh 29500000
476,"Parklands, Parklands, Nairobi, Nairobi",2 Bedrooms,Dwarkesh Apartments  Parklands,KSh 15000000
477,"Mombasa Road, Imara Daima, Nairobi, Nairobi",2 Bedrooms,"Kings Millenium 2 & 3 Bedrooms For Sale In Imara Daima, Msa Road. From Ksh. 8.5m Only.",KSh 8500000
478,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,5 Bedroom Townhouse for sale in Lavington,KSh 75000000
479,"Turbo Rd, Hurlingham, Nairobi, Nairobi",2 Bedrooms,Stunning 2 Bedroom + Dsq Apartments In Hurlingam,KSh 15000000
480,"Lavington, Nairobi, Nairobi",3 Bedrooms,3 Bedroom +SDQ For Sale- Lavington,KSh 23000000
481,"Nyali, Nyali, Mombasa, Coast",3 Bedrooms,"Nyali Jumeirah Park Apartment-Class,Luxury And Comfort.",KSh 15500000
482,"Mararo Avenue, Lavington, Nairobi, Nairobi",2 Bedrooms,Beautiful Apartments In Lavington,KSh 17000000
483,"Mugoiri Rd Kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Beautiful 3 Bedroom Apartment For Sale In Kileleshwa-16.5m,KSh 16500000
484,"Garden city, Thika Road, Nairobi, Nairobi",2 Bedrooms,Two Bedroom Apartment For Sale In Garden City,KSh 28000000
485,"Syokimau, Syokimau, Nairobi, Nairobi",4046 Land Size (m²),1 Acre Prime Land for sale  in Syokimau,KSh 11000000
486,"Rhapta road, Westlands, Nairobi, Nairobi",3 Bedrooms,Three Bedroom Apartment For Sale In Westlands,KSh 21000000
487,"Machakos, Machakos, Nairobi, Nairobi",1011 Land Size (m²),"1/8 Acre Land for sale  in Mlolongo, Machakos, Kenya",KSh 7500000
488,"Athi River, Athi River, Machakos, Eastern",1 Bedrooms,Luxurious 1 Bedroom Apartment In Athi River,KSh 2800000
489,"Gatundu Road, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,"2 Bedrooms For Sale Off Plan On Gatundu Road, Kileleshwa",KSh 8000000
490,"Nakumatt Kitisuru, Kitisuru, Nairobi, Nairobi",3 Bedrooms,Kitusuru View Apartments (Lavish 3 Bedroom Apartments),KSh 8500000
491,"Riara close, Riara, Nairobi, Nairobi",3 Bedrooms,Lovely 3 Bedroom Apartment On Riara Close.,KSh 25500000
492,"It's along riara rd., Kilimani, Nairobi, Nairobi",3 Bedrooms,A Brand New 3 Bedroom All En-suite With A Dsq For Sale.,KSh 20000000
493,"Dennis Pritt Road, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Kilimani,KSh 19000000
494,"Eastleigh, Eastleigh North, Nairobi, Nairobi",3 Bedrooms,Jannah Estate,KSh 8500000
495,"Kilimani, Kilimani, Nairobi, Nairobi",1 Bedrooms,Beautiful 1 Bedroom Studio Apartment  in Kilimani,KSh 55000
496,"Kabete, Nairobi, Nairobi",3 Bedrooms,"Signature Apartments, Lower Kabete",KSh 9500000
497,"KILIFI ROCA - ADJACENT BOFA BEACH., Kilifi, Kilifi, Coast",10 Land Size (m²),KILIFI ROCA/BOFA BEACH -10 ACRES BEACH LAND.,KSh 10000000
498,"Argwings Kodhek Road, Lavington, Nairobi, Nairobi",2 Bedrooms,2 Bedrooms Apartment For Sale In Lavington,KSh 15000000
499,"Waiyaki Way, Waiyaki Way, Nairobi, Nairobi",1394 Building Size (m²),The Address Waiyaki Way - Nairobi,Contact seller for price
500,"Kilimani, Kilimani, Nairobi, Nairobi",2 Bedrooms,Crest Park Apartments-Dennis Pritt Road-Kilimani Dennis Pritt,KSh 12000000
501,"Lavington, Nairobi, Nairobi",5 Bedrooms,Modern Living - 5 Bedroom Town House at Lavington,KSh 75000000
502,"Airport Road, Syokimau, Nairobi, Nairobi",3 Bedrooms,Magnificent 3 Bedroom Townhouse With Dsq For Sale In Syokimau,KSh 10500000
503,"Lenana Road, Kilimani, Nairobi, Nairobi",2 Bedrooms,Stunning 2 Bedrooms Apartment For Sale,KSh 16500000
504,"kiambere road, Upper Hill, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment In Upperhill,KSh 100000
505,"Lamu Road, Malindi, Kilifi, Coast",3 Bedrooms,Beautiful 3 Bedroom En-Suite Home for sale,KSh 17000000
506,"Riverside drive, Riverside, Nairobi, Nairobi",NO656CO44SZFINTRESKEA Object ID,"Victoria office suites, Riverside drive",KSh 45000000
507,"Nyeri road, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,Sky Gardens - Kileleshwa,KSh 12500000
508,"Makueni road, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,For Sale Â€“ Beautiful Apartment,KSh 25000000
509,"Syokimau, Nairobi, Nairobi",3 Bedrooms,"Almasi Apartments, Syokimau",KSh 15000000
510,"Kisauni road, Nairobi West, Nairobi, Nairobi",3 Bedrooms,3 Bedroom  Apartment in Nairobi West,KSh 9950000
511,"Modern 2 Bedroom Apartment For Sale In Kileleshwa, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,Modern 2 Bedroom Apartment For Sale In Kileleshwa,KSh 14700000
512,"dagoreti corner, Kiambu, Kiambu, Central",2 Bedrooms,Kikuyu Road D- Elegant 2 Bedroom Apartments,KSh 4500000
513,"Lavington, Lavington, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartments For Sale In Lavington,KSh 24000000
514,"Langata, Langata, Nairobi, Nairobi",4 Bedrooms,Cozy modern living! Phenom Phase 3 Four Bedroom Townhouse,KSh 30000000
515,"Mamboleo, Riat Hill, Kisumu, Kisumu, Kisumu, Nyanza",2025 Land Size (m²),"A Half Acre Plot for sale  in Mamboleo, Kisumu",KSh 15000000
516,"Malindi, Malindi, Kilifi, Coast",2 Bedrooms,House at Malindi,KSh 120000000
517,"Yaya Centre, Yaya Centre, Nairobi, Nairobi",2 Bedrooms,"2 Bedroom Apartment , Near Yaya Ideal",KSh 25000000
518,"Mombasa road, Imara Daima, Nairobi, Nairobi",3 Bedrooms,Lifestyle At Your Reach,KSh 9000000
519,"Tom Mboya estate, Riruta, Kisumu, Nyanza",3 Bedrooms,"3 Bedroom All Ensuite Apartments For Sale In Kisumu, Tom Mboya Estate.",KSh 10500000
520,"Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment With Sq For Sale In Kilimani,Contact seller for price
521,"Elgeyo Marakwet kilimani, Kilimani, Nairobi, Nairobi",1 Bedrooms,1 Bedroom Apartment For Sale In Kilimani,KSh 13000000
522,"Mpaka road, Westlands, Westlands, Nairobi, Nairobi",3 Bedrooms,"Outstanding 3 Bedroom Apartment On Mpaka Road, Westlands",KSh 29000000
523,"Parklands, Nairobi, Nairobi",2 Bedrooms,Block Of 1 & 2 Bedroom Apartments,KSh 160000000
524,"Lavington, Lavington, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment For Sale- Lavington,KSh 12500000
525,"Arwings Kodhek, Kilimani, Nairobi, Nairobi",3 Bedrooms,"Fine Living 3 Bedrooms + Dsq Fully Furnished Apartment For Sale In Hurligham, Kilimani.",KSh 30000000
526,"It's along kandara rd, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,A 3 Bedroom Rm Apartment For Sale At Kileleshwa Kandara Rd,KSh 16000000
527,"kilimani, Kilimani, Nairobi, Nairobi",4 Bedrooms,Curb appeal! Kilimani cute and beautiful apartment,KSh 28500000
528,"Penthouse For Sale In Kileleshwa, Kileleshwa, Nairobi, Nairobi",4 Bedrooms,Penthouse For Sale In Kileleshwa,KSh 50000000
529,"Kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,"Kileleshwa, 3 Bedroom  Apartment for sale",KSh 190000000
530,"Brookside drive, Brookside, Nairobi, Nairobi",4 Bedrooms,Modern 4 Bedroom Apartment On Brookside Drive,KSh 33000000
531,"Kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Kilimani,KSh 13500000
532,"Westlands, Westlands, Nairobi, Nairobi",3 Bedrooms,For [email protected] In Westlands.,KSh 35000000
533,"Njabini, Njabini, Njabini, Central",506 Land Size (m²),1/4 Prime Plots for sale  in Njabini,KSh 1500000
534,"Ol Kajuado Plains, Kajiado, Kajiado, Rift Valley",506 Land Size (m²),1/8 Plots for sale  in Ol-Kajudo Plains,KSh 550000
535,"Laikipia Road, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Spectacular 3 Bedrooms Apartment For Sale,KSh 40000000
536,"Riruta, Riruta, Machakos, Eastern",77000 Land Size (m²),Machakos Town 19 Acres Prime Land,KSh 190000000
537,"Naivsaha Rd, Uthiru/Ruthimutu, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment (Normal Type )for Sale Close To Ilri In Uthiru.,KSh 8000000
538,"Gatundu road, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment For Sale In Kileleshwa,KSh 8000000
539,"Kilimani, Nairobi, Nairobi",3 Bedrooms,"Value For Money, Great Investment",KSh 23000000
540,"Brookside drive, Brookside, Nairobi, Nairobi",3 Bedrooms,Lavish 3 Bedroom Apartment On Brookside Drive,KSh 28000000
541,"Ngong Rd, Ngong Road, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment For Sale Along Ngong Rd,KSh 7500000
542,"Riruta, Riruta, Machakos, Eastern",20230 Land Size (m²),5 Acres Land Machakos,KSh 60000000
543,"Wamagata Court, Woodley, Nairobi, Nairobi",3 Bedrooms,"Spacious 3 Bedroom Apartment Plus Sq For Sale, Along Ngong Rd",KSh 14750000
544,"Airport Road, Syokimau, Nairobi, Nairobi",4 Bedrooms,Elegant 4 Bedroom Towhouses With Dsq For Sale In Syokimau,KSh 11500000
545,"Dennis Pritt Rd,Kilimani, Kilimani, Nairobi, Nairobi",2 Bedrooms,Beatiful And Spacious 2 Bedroom Apartments For Sale In Kilimani-12.5m,KSh 12500000
546,"near the junction mall, Lavington, Nairobi, Nairobi",3 Bedrooms,Lovely And Spacious 3bedroom Apartment.,Contact seller for price
547,"Nyari, Nyari, Nairobi, Nairobi",5 Bedrooms,Ultra-Modern And Exquisite 5 Bedroom House in Nyari,KSh 160000000
548,"Siaya Road, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Kileleshwa- Beautiful Apartment,KSh 24000000
549,"Brookside, Westlands, Nairobi, Nairobi",3 Bedrooms,Three Bedroom Apartment For Sale In Westlands,KSh 30000000
550,"Riverside, Nairobi, Nairobi",4 Bedrooms,"Boulevard Park, Duplex",KSh 55000000
551,"Lavington, Lavington, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Lavington At 23m,KSh 23000000
552,"Mugoiri road, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Three Bedroom Apartment For Sale In Kileleshwa,KSh 25000000
553,"Naivasha Rd Lavington, Lavington, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment With Dsq For Sale In Lavington 15m,KSh 15000000
554,"Mombasa road, Mombasa Road, Nairobi, Nairobi",4 Rooms (total),"Godown Apprx 10,000 sqft for sale off Mombasa road",KSh 50000000
555,"Naivasha Rd Lavington, Lavington, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment With Dsq For Sale In Lavington 15m,KSh 15000000
556,"Westlands, Nairobi, Nairobi",4 Bedrooms,""" Decent Investment - 4 Bedroom Apartment""",KSh 29000000
557,"Riverside Drive, Riverside, Nairobi, Nairobi",5 Bedrooms,"Captivating 5 Bedrooms Duplex Penthouse, Riverside",KSh 40000000
558,"Eldama Ravine, Westlands, Nairobi, Nairobi",3 Bedrooms,"3 Bedroom Apartments On Eldama Ravine Road, Westlands",KSh 42000000
559,"Ruaka, Ruaka, Nairobi, Nairobi",1012 Land Size (m²),"1/4 Commercial Plot, Along Limuru Road (Ndenderu)",KSh 30000000
560,"Hatheru road Lavington Nairobi, Lavington, Nairobi, Nairobi",4 Bedrooms,Modern 4 Bedroom All En-Suite Apartments For Sale In Lavington,KSh 19500000
561,"off Langata Road, Langata, Nairobi, Nairobi",4 Bedrooms,"Elegant 4 Bedroom Townhouse, off Langata Road",KSh 26800000
562,"Kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,Beatiful 3 Bedroom Apartment Plus Sq In Kilimani - 27m,KSh 27000000
563,"Malindi-Garsen Road, Malindi, Kilifi, Coast",3 Bedrooms,"3 Bedroom En-Suite Home for sale, Malindi",KSh 44000000
564,"Hardy, Karen, Nairobi, Nairobi",20234 Land Size (m²),"Five Acres, near Hardy",KSh 240000000
565,"KERARAPON, Karen, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment-Benann Apartments-Karen,KSh 9500000
566,"Karen, Karen, Nairobi, Nairobi",4000 Land Size (m²),1 Acre  of Land for sale  in Karen - 3ke3004004,KSh 35000000
567,"Ngong Rd Nairobi, Ngong Road, Nairobi, Nairobi",3 Bedrooms,3 Bedroom & Dsq Apartment For Sale Kilimani.,KSh 15500000
568,"Gitanga Rd Maziwa, Lavington, Nairobi, Nairobi",5 Bedrooms,5 Bedroom Apartment / Flat For Sale In Lavington,KSh 33000000
569,"Parklands, Parklands, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Well Finished Property In Parklands,KSh 25000000
570,"Nyali, Nyolo, Nyolo, Coast",3 Bedrooms,3 Bedroom Apartment For Sale In Nyali,KSh 30000000
571,"Ruaka, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment Ruaka,KSh 10500000
572,"Waiyaki Way, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Maisonette Sigona,KSh 17500000
573,"Turbo Road, Kilimani, Nairobi, Nairobi",3 Bedrooms,Stunning Apartments In Kilimani,KSh 17500000
574,"Riara Road, Kilimani, Nairobi, Nairobi",3 Bedrooms,A Stunning 3 Bedroom House,KSh 22000000
575,"Diani Beach Road, Diani Beach, South coast, Coast",1 Bedrooms,Lovely One Bedroom Apartment In Central Diani,KSh 11500000
576,"Kiambu rd, Thindigua, Kiambu, Kiambu, Central",3 Bedrooms,Elegant 2 & 3 Bedroom  Apartments for sale in Thindigua,KSh 18000000
577,"DENIS SPRIT, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Rm/Sq In Kilimani @25M,KSh 25000000
578,"Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,Amani Village.,KSh 12000000
579,"Juja, Riruta, Nairobi, Nairobi",3 Bedrooms,Juja 3 Bedroom Apartments For Sale,KSh 10000000
580,"Pan African Insurance Lane, Runda, Nairobi, Nairobi",2023 Land Size (m²),Prime Half Acre Plots for sale  in Runda Mumwe,KSh 45000000
581,"Buru Buru Estate, Buruburu, Nairobi, Nairobi",3 Bedrooms,17 1014 ST An opportunity to acquire this urbane and prestigious three bedroom maisonnette 17 03 23,KSh 12000000
582,"Brookside Drive, Westlands, Nairobi, Nairobi",3 Bedrooms,Three Bedroom Apartment For Sale In Westlands,KSh 30000000
583,"Ngong Road, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment Ngong Road,KSh 9000000
584,"Vihiga road, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Three And Four Bedroom Apartment For Sale In Kileleshwa,KSh 25000000
585,"Mahiga Mairu Avenue, Westlands, Nairobi, Nairobi",3 Bedrooms,Spacious 3 Bedroom Apartment In Westlands For Sale,KSh 22000000
586,"Argwings Kodhek road, Kilimani, Nairobi, Nairobi",3 Bedrooms,"Off Plan Furnished 3 Bedroom Apartment For Sale, Kilimani",KSh 24000000
587,"Coral Villas, Near Shambani Plants, Nyali, Mombasa, Coast",4 Bedrooms,4 Bedroom Villa with 1 Bedroom Guest House for Sale in Nyali,KSh 70000000
588,"Thika Road, Nairobi, Nairobi",2 Bedrooms,Lovely Two Bedroom Apartments For Sale In Ruiru-3ke1217291,KSh 7250000
589,"Athi River near mavuno church, Athi River, Machakos, Eastern",2 Bedrooms,Bella Casa Apartments For Sale,KSh 4700000
590,"siaya road, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Apartment Available For Sale,KSh 26000000
591,"Mountain View, Mountain View, Nairobi, Nairobi",2 Bedrooms,"Spacious 2 Bedroom Apartments At Mountain View, Waiyaki Way",KSh 8000000
592,"Thindigwa, Kiambu, Kiambu, Central",3 Bedrooms,2 Bedroom Apartment in Kiambu,KSh 8200000
593,"Riara Road, Lavington, Nairobi, Nairobi",3 Bedrooms,"Executive 3 Bedoom Apartment All Ensuite With A D Sq, Pool,Generator...",KSh 28000000
594,"Rhapta road, Westlands, Nairobi, Nairobi",3 Bedrooms,Three Bedroom Apartment For Sale In Westlands,KSh 30000000
595,"off Malindi Road Bamburi, Bamburi, Bamburi, Coast",2 Bedrooms,2 Bedroomed Fully Furnished Apartment For Sale In Bamburi Coast,KSh 28000000
596,"Brookside drive, Brookside, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Westlands(Brookside),KSh 30000000
597,"Brookside, Nairobi, Nairobi",3 Bedrooms,717 Brookside Apartments,KSh 36000000
598,"Riara Road, Nairobi, Nairobi",3 Bedrooms,Elegant And Stylish Apartments Along Riara Road,KSh 20000000
599,"General Mathenge road, Westlands, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Apartment For Sale In Westlands,KSh 33000000
600,"Riara Road, Kilimani, Nairobi, Nairobi",3 Bedrooms,"Fine Living Sherwood 3 Bedrooms + Dsq For Sale On Riara Road, From Ksh. 18m Only!! Show House Ready.",KSh 18000000
601,"Arwings Kodhek, Kilimani, Nairobi, Nairobi",3 Bedrooms,"Fine Living Distinction 3 Bedrooms + Dsq For Sale In Hurligham, Ksh. 30m Only. Fully Furnished.",KSh 30000000
602,"Prime Commercial Building For Sale At Kisumu CBD, Kisumu, Kisumu, Nyanza",929 Building Size (m²),Prime Commercial Building For Sale At Kisumu CBD,KSh 120000000
603,"Kileleshwa Nairobi, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Modern And Elegant 3 Bedroom + Dsq Apartment For Sale In Kileleshwa Nairobi,KSh 30000000
604,"Green Park, Naivasha, Naivasha, Rift Valley",20230 Land Size (m²),"Six 5 Acre Plots in Greenpark, Naivasha - S289",KSh 12500000
605,"kilimani, Kilimani, Nairobi, Nairobi",2 Bedrooms,Ever Homes - Kilimani Dennis Pritt Road,KSh 11000000
606,"Juja, Juja, Kiambu, Central",4 Bedrooms,Residences In Juja,Contact seller for price
607,"Riverside, Riverside, Nairobi, Nairobi",3 Bedrooms,Luxurious Living In Riverside - 3ke1169501,KSh 45200000
608,"Mogoiri road, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,Executive 2 Bedroom All En-Suite In Kileleshwa,KSh 15000000
609,"Westlands, Nairobi, Nairobi",NO704AP26QSFINTRESKE Object ID,Malakal Apartments In Westlands,KSh 24000000
610,"Runda Grove, Runda, Nairobi, Nairobi",4046 Land Size (m²),1 Acre Level Plot in Old Runda - S286,KSh 110000000
611,"Syokimau, Nairobi, Nairobi",3 Bedrooms,"Apartment , Amani Ridge",KSh 8000000
612,"Argwings Kodhek Rd, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment / Flat For Sale In Kilimani,KSh 30000000
613,"Westlands, Westlands, Nairobi, Nairobi",2 Bedrooms,2 Bdrm All Ensuit With A Rooftop Infinity Swimming Pool,KSh 23500000
614,"Parklands, Nairobi, Nairobi",3 Bedrooms,Fantastic 3 Bedroom Apartment For Sale In Parklands - 3ke1200053,KSh 42000000
615,"Malindi, Kilifi, Coast",3 Bedrooms,3 Bedroom Apartment,KSh 25000000
616,"kitengela, Kajiado, Kajiado, Rift Valley",3 Bedrooms,Sparkling new house! 3 Bedroom Bungalow Available For Sale In Kitengela,Contact seller for price
617,"Karen, Karen, Nairobi, Nairobi",2023 Land Size (m²),1/2 Prime Land for sale  in Karen,KSh 35000000
618,"near police station, Kileleshwa, Nairobi, Nairobi",4 Bedrooms,An Elegant And Exclusive 4 Bedroom Apartment For Sale In Kileleshwa,KSh 18000000
619,"Riara Rd Maziwa, Lavington, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment / Flat For Sale In Lavington,KSh 26500000
620,"Kiambu Road, Nairobi, Nairobi",3 Bedrooms,Apartment in Thindigua Gardens,KSh 12000000
621,"Ongata Rongai, Ongata Rongai, Kajiado, Rift Valley",3 Bedrooms,Price to brag about! Ongata Rongai Rimpa Bungalow,KSh 5700000
622,"Limuru, Limuru Township, Limuru Township, Central",2600 Land Size (m²),Limuru 0 5 Acre Plot for sale,KSh 14000000
623,"Brookside Drive, Westlands, Nairobi, Nairobi",3 Bedrooms,"Westlands,Brookside- Luxurious Apartments",KSh 33000000
624,"ngong rd nairobi, Ngong Road, Nairobi, Nairobi",2 Bedrooms,2 Bedroom & Dsq Apartment For Sale Karen,KSh 7500000
625,"Kilimani, Nairobi Kenya, Kilimani, Nairobi, Nairobi",1 Bedrooms,Kilimani 1 Bedroom Master Ensuite Apartment For Sale,KSh 12500000
626,"off Mombasa Road, Mombasa Road, Nairobi, Nairobi",3 Bedrooms,17 1013 ST Excellent prospect of acquiring a splendid home. 17 04 21,KSh 17500000
627,"KILIFI/MAJAONI, Kilifi, Kilifi, Coast",20234 Land Size (m²),14 8 Acres of Land for sale,KSh 1800000
628,"Lenana Road, Kilimani, Nairobi, Nairobi",3 Bedrooms,A Fabulous 3 Bedrooms House Forsale,KSh 17500000
629,"Kitengela, Kitengela, Kajiado, Rift Valley",3 Bedrooms,Fresh new look! Kitengela Beautiful Bungalow,KSh 8200000
630,"Brookside drive, Westlands, Nairobi, Nairobi",3 Bedrooms,"3 Bedroom Apartment For Sale In Brookside, Westlands",KSh 29000000
631,"Plains of Kieni, Nyeri, Nyeri, Central",30 Rooms (total),Giraffe Ark Lodge,KSh 600000000
632,"Plainsview, South B, Nairobi, Nairobi",3 Bedrooms,3 Bedroom House at Plainsview,KSh 13500000
633,"Runda, Nairobi, Nairobi",7 Bedrooms,Touch of class! Runda Mimosa 7 bed Townhouse.,KSh 140000000
