,address,description,name,value
1421,"Riara Rd, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment / Flat For Sale In Kilimani,KSh 15500000
1422,"Kilimani, Nairobi, Nairobi",3 Bedrooms,"Highend 1,2,3 Bedroom Serviced Duplex Apartments With High Returns, Kilimani",KSh 11950000
1423,"Lavington, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Lavington,KSh 19000000
1424,"NYERI RD, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,Kileleshwa;2 Bedroom Apartment For Sale,KSh 13920000
1425,"Casuarina Road, Malindi, Kilifi, Coast",5 Bedrooms,Detached House for sale in Malindi,KSh 22000000
1426,"Marist Lane, Karen, Nairobi, Nairobi",NO008LA81FZEINTRESKE-NEW Object ID,9 Acres Vacant Land for sale  in Karen- 3ke1306062,KSh 585000000
1427,"Brookside drive, Brookside, Nairobi, Nairobi",3 Bedrooms,Beautiful 3 Bedroom Apartment On Brookside Drive,KSh 29000000
1428,"South C, South C, Nairobi, Nairobi",3 Bedrooms,Elegant 3 Bedroom Apartment In South C,KSh 11000000
1429,"Diani Beach Rd, Diani, Mombasa, Coast",3 Bedrooms,Diani Swahili style 3 b/r villa with baobabs and palm garden,KSh 25500000
1430,"Westlands, Westlands, Nairobi, Nairobi",4 Bedrooms,4 Bedroom All En-Suite General Mathenge Road,KSh 30000000
1431,"Kayahwe road, Kilimani, Nairobi, Nairobi",2 Bedrooms,"Spacious 2 Bedroom For Sale On Kayahwe Road/ Dennis Pritt, Kilimani.",KSh 9500000
1432,"Kikuyu Township, Kikuyu Township, Central",2 Bedrooms,"Apartments, 2 Bedroom In Kikuyu Town - Off Southern Bypass",KSh 8000000
1433,"Ruaka, Ruaka, Nairobi, Nairobi",NO275LA64GLJINTRESKE-NEW Object ID,1/4 Acre for sale  in Ruaka,KSh 7000000
1434,"Thika, Thika Township, Thika Township, Central",890340 Land Size (m²),220 Acres of Prime Agricultural Land in Thika,Contact seller for price
1435,"waiyaki way, Loresho, Nairobi, Nairobi",3 Bedrooms,Elegant 3 Bedroom Apartment All Ensuite With D Sq,KSh 15000000
1436,"Masanduku lane Lavington Nairobi, Lavington, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Lavington,KSh 25000000
1437,"Juja, Riruta, Nairobi, Nairobi",2 Bedrooms,Juja 2 Bedroom Apartments For Sale,KSh 5500000
1438,"Kingara-Lavington, Lavington, Nairobi, Nairobi",3 Bedrooms,Riverpoint Apartments - 3 Bedroom All Ensuite In Lavington,KSh 21500000
1439,"Westlands, Nairobi, Nairobi",3 Bedrooms,Modern 3 Bedroom Apartment In Westlands,KSh 27500000
1440,"Lavington, Nairobi, Nairobi",3 Bedrooms,Lovely 3 Bedroom Apartment For Sale In Lavington-3ke1244522,KSh 18000000
1441,"Kilimani, Nairobi, Nairobi",3 Bedrooms,Lavish 3 Bedroom Master En-Suite Apartment In Kilimani,KSh 20000000
1442,"Westlands, Nairobi, Nairobi",4 Bedrooms,Westlands 4 Bedroom Apartment For Sale,KSh 38000000
1443,"Light Academy, Malindi, Kilifi, Coast",3 Bedrooms,House For Sale-Malindi.,KSh 28000000
1444,"Waiyaki Way, Waiyaki Way, Nairobi, Nairobi",3 Bedrooms,"Gorgeous 2 And 3 Bedroom Apartments, Waiyaki Way",KSh 9750000
1445,"kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartments With A Dsq And Balconies For Sale In Kilimani,KSh 25000000
1446,"Ngecha Road, Lower Kabete, Nairobi, Nairobi",10117 Land Size (m²),Prime Land Along Ngecha Road,KSh 255000000
1447,"Karen, Nairobi, Nairobi",2 Bedrooms,"1 & 2 Bedroom For Sale, Nine Sisters- Karen",KSh 8500000
1448,"Westlands, Westlands, Nairobi, Nairobi",4 Bedrooms,"4 Bedrooms Apartment, Westlands",KSh 30000000
1449,"kitengela - kajado road, Mlolongo, Nairobi, Nairobi",1 Land Size (m²),KITENGELA KISAJU/SUKOS - 0.75 ACRE.,KSh 10000000
1450,"maji mazuri road, Lavington, Nairobi, Nairobi",4 Bedrooms,Newly Built 4 Bedroom House For Sale In Lavington,KSh 85000000
1451,"Mombasa road, Athi River, Machakos, Eastern",2 Bedrooms,Athi River 2 Bedroom Apartment For Sale,KSh 4600000
1452,"Kisimani/Buni, Kisimani Buni, Mombasa, Coast",2 Bedrooms,Two Bedroom Apartment For Sale,KSh 4200000
1453,"lavington, Lavington, Nairobi, Nairobi",3 Bedrooms,Lovely 3 Bedroom 2 Bathroom Apartment In Lavington Situated On Masanduku Lane,KSh 20000000
1454,"Malindi Town, Malindi, Kilifi, Coast",4 Bedrooms,"Stunning 4 Bedroom Villa For Sale In Malindi,Kenya",KSh 25000000
1455,"Westlands, Nairobi, Nairobi",3 Bedrooms,Executive 3 Bedroom Apartment At Westlands,KSh 30000000
1456,"MOMBASA ROAD, Mombasa Road, Nairobi, Nairobi",1 Rooms (total),Prime Commercial Space -Retail Space,KSh 28000000
1457,"Riara Gardens, Kilimani, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Apartment / Flat For Sale In Kilimani,KSh 22000000
1458,"Kileleshwa, Nairobi, Nairobi",2 Bedrooms,Kileleshwa 2 Bedroom To Sale,KSh 16000000
