name,county,ward_code,ward_name,political_party,gender
ADAN DAKANE MAALIM,MANDERA,220,ALANGO GOF,INDEPENDENT,Male
ADAN FEISAL GAIYE,MANDERA,211,ARABIA,MAENDELEO CHAP CHAP PARTY,Male
ADAN ISSA IBRAHIM,GARISSA,133,TOWNSHIP,KENYA AFRICAN NATIONAL UNION,Male
ADAN ISSACK MOHAMED,MANDERA,195,GITHER,JUBILEE PARTY,Male
ADAN MOHAMED IBRAHIM,WAJIR,171,KHOROF HARAR,PARTY FOR DEVELOPMENT AND REFORM,Male
ADAN MOHAMED KHAMIS,WAJIR,183,ELNUR TULA TULA,ORANGE DEMOCRATIC MOVEMENT,Male
ADAN MOHAMED OSMAN,WAJIR,183,ELNUR TULA TULA,KENYA AFRICAN NATIONAL UNION,Male
ADAN OSMAN ABDI,WAJIR,170,BARWAGO,PARTY OF NATIONAL UNITY,Male
ADAN RASHID BILLOW,WAJIR,182,LAKOLEY SOUTH BASIR,JUBILEE PARTY,Male
ADAN WARSAME ABDULLAHI,MANDERA,217,FINO,PARTY FOR DEVELOPMENT AND REFORM,Male
ADANGAH JACOB OKAGA,VIHIGA,1067,JEPKOYAI,ORANGE DEMOCRATIC MOVEMENT,Male
ADANO GUYO ALI,MARSABIT,228,DUKANA,FRONTIER ALLIANCE PARTY,Male
ADBI HASSAN HAJJ,MANDERA,212,TOWNSHIP.,MAENDELEO CHAP CHAP PARTY,Male
ADE HASSAN BOCHA,TANA RIVER,90,GARSEN WEST,KENYA AFRICAN NATIONAL UNION,Male
ADEBA AZULU WASWA,NAIROBI CITY,1436,EASTLEIGH SOUTH,INDEPENDENT,Male
ADELLAH RAPHAEL OTIENO,KISUMU,1203,CENTRAL SEME,JUBILEE PARTY,Male
ADEN ABDI HUSSEIN,GARISSA,139,SANKURI,JUBILEE PARTY,Male
ADEN ABDULLAHI OMAR,GARISSA,152,BURA,PARTY FOR DEVELOPMENT AND REFORM,Male
ADEN DAHIR MUHAMUD,GARISSA,157,HULUGHO,KENYA AFRICAN NATIONAL UNION,Male
ADEN HUSSEIN TARAR,GARISSA,147,DADAAB,KENYA AFRICAN NATIONAL UNION,Male
ADEN NASSIR MOHAMED,GARISSA,156,NANIGHI,JUBILEE PARTY,Male
ADEN SIYAT ABDI,GARISSA,131,WABERI,ALLIANCE FOR REAL CHANGE,Male
ADERA BENARD OCHIENG',MIGORI,1267,WEST SAKWA,INDEPENDENT,Male
ADERA STEPHEN OUMA,SIAYA,1156,WEST UGENYA,INDEPENDENT,Male
ADERO GEORGE OTIENO,TRANS NZOIA,684,MATISI,JUBILEE PARTY,Male
ADEYA EMMY KHASEYI,KAKAMEGA,1044,ISUKHA SOUTH,WIPER DEMOCRATIC MOVEMENT- KENYA,Female
ADHAN DAGANE RAGO,TANA RIVER,96,CHEWELE,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Male
ADHEABAE MOHAMED SALIM,KILIFI,79,SHELLA,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Male
ADHIAMBO FRANCIS NICK,SIAYA,1167,NORTH ALEGO,INDEPENDENT,Male
ADHIAMBO IRENE PAMELA,MOMBASA,27,TUDOR,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Female
ADIDA LORNA ACHIENG OCHIENG,SIAYA,1180,NORTH SAKWA,ORANGE DEMOCRATIC MOVEMENT,Female
ADIDI SULEIMAN JUMAA,KWALE,32,UKUNDA,INDEPENDENT,Male
ADIE JUSTUS OMONDI,HOMA BAY,1223,CENTRAL KASIPUL,INDEPENDENT,Male
ADIKA PAUL ODHIAMBO,HOMA BAY,1256,LAMBWE,INDEPENDENT,Male
ADIKA RACHEL KAGEHA,VIHIGA,1051,LUGAGA-WAMULUMA,NATIONAL AGENDA PARTY OF KENYA,Female
ADIO ABUBAKAR BAUSI,LAMU,101,FAZA,ORANGE DEMOCRATIC MOVEMENT,Male
ADIWA CHRISTINE ADHIAMBO,BUSIA,1152,BUNYALA CENTRAL,INDEPENDENT,Female
ADNAN FAHD DINI,LAMU,101,FAZA,KENYA AFRICAN NATIONAL UNION,Male
ADOMOW IBRAHIM SALAH,TANA RIVER,98,BANGALE,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
ADONGO DOROTHY ATIENO,HOMA BAY,1259,KAKSINGRI WEST,JUBILEE PARTY,Female
ADONGO WALTER OTIENO,HOMA BAY,1249,KABUOCH SOUTH PALA,INDEPENDENT,Male
ADOO PIUS OPIYO,HOMA BAY,1221,WEST KASIPUL,INDEPENDENT,Male
ADOW SAHAL QABOW,WAJIR,186,DADAJA BULLA,MAENDELEO CHAP CHAP PARTY,Male
ADRUSI JUMA SAID,MOMBASA,25,TIMBWANI,INDEPENDENT,Male
ADUDANS COLLINS OCHIENG,NAIROBI CITY,1427,UMOJA II,INDEPENDENT,Male
ADUNDO JOANES ASAWO,MIGORI,1273,WIGA,INDEPENDENT,Male
ADUNGO FREDRICK ATELU,BUSIA,1127,ANG'OROM,CHAMA CHA MASHINANI,Male
ADUNGO ISAAC ICOK,BUSIA,1128,CHAKOL SOUTH,MOVEMENT FOR DEMOCRACY AND GROWTH,Male
ADUNGOSI MARTIN ADUN'GO,BUSIA,1128,CHAKOL SOUTH,THE LABOUR PARTY OF KENYA,Male
ADUO KELLY OCHIENG,TAITA TAVETA,113,BOMANI,ORANGE DEMOCRATIC MOVEMENT,Male
AELA JASMEY OMONDI,MIGORI,1284,NORTH KADEM,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Male
AENGWO JOHN CHONGWO,BARINGO,790,SAIMO KIPSARAMAN,JUBILEE PARTY,Male
AFUNDI THOMAS MIREMBO,VIHIGA,1055,LYADUYWA IZAVA,ORANGE DEMOCRATIC MOVEMENT,Male
AGALO KAJIRWA FREDRICK,VIHIGA,1062,GISAMBAI,ORANGE DEMOCRATIC MOVEMENT,Male
AGAMA SAMUEL OBONDO,VIHIGA,1053,CENTRAL MARAGOLI,UNITED DEMOCRATIC PARTY,Male
AGANGA BENARD MOKORO,KISII,1304,RIANA,KENYA SOCIAL CONGRESS,Male
AGASA EVANS MAROKO,NYAMIRA,1351,GESIMA,PEOPLES DEMOCRATIC PARTY,Male
AGATSIVA JOSEPH ATSIAYA,VIHIGA,1060,BUSALI,INDEPENDENT,Male
AGAWO LENTANA ADOTO APOPO,HOMA BAY,1246,KANYADOTO,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Male
AGENG'O JOHN KENNEDY,KISUMU,1206,EAST KANO WAWIDHI,INDEPENDENT,Male
AGESA ALFRED KETOLE,VIHIGA,1053,CENTRAL MARAGOLI,JUBILEE PARTY,Male
AGGREY ANGWENYI MARANGA,NYAMIRA,1348,KEMERA,MAENDELEO CHAP CHAP PARTY,Male
AGISI ANDREW OSEBE,KISII,1331,BOBARACHO,INDEPENDENT,Male
AGISO ELLY OCHIENG,KISUMU,1218,CENTRAL NYAKACH,JUBILEE PARTY,Male
AGNES Chepkemoi,NAROK,883,ANGATA BARIKOI,ORANGE DEMOCRATIC MOVEMENT,Female
AGOKO JOSEPH OMONDI,SIAYA,1160,SIDINDI,INDEPENDENT,Male
AGOLA ERICK OTIENO,KISUMU,1191,SOUTH WEST KISUMU,ORANGE DEMOCRATIC MOVEMENT,Male
AGOYA EVANS EMODIA,VIHIGA,1055,LYADUYWA IZAVA,INDEPENDENT,Male
AGUKO CHARLES AGUKO,KISUMU,1209,KABONYO KANYAGWAL,ORANGE DEMOCRATIC MOVEMENT,Male
AGWATA MOSES MOSOTI,NYAMIRA,1355,BONYAMATUTA,UNITED DEMOCRATIC PARTY,Male
AHAMED NASSIB BADI,MOMBASA,6,JOMVU KUU,MAENDELEO CHAP CHAP PARTY,Male
AHMED ABDI JIMALE,WAJIR,170,BARWAGO,KENYA AFRICAN NATIONAL UNION,Male
AHMED ABDIKADIR IBRAHIM,NAIROBI CITY,1435,EASTLEIGH NORTH,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
AHMED ABDULLAHI IBRAHIM,WAJIR,162,BUTE,MAENDELEO CHAP CHAP PARTY,Male
AHMED ABDULLAHI JAMA,GARISSA,146,DERTU,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Male
AHMED ABUBAKAR MOHAMED,GARISSA,133,TOWNSHIP,CHAMA CHA MASHINANI,Male
AHMED ADAN JELLE,MANDERA,220,ALANGO GOF,JUBILEE PARTY,Male
AHMED DAHIR DAUD,TANA RIVER,94,CHEWANI,DEMOCRATIC PARTY OF KENYA,Male
AHMED DAUD IBRAIM,WAJIR,179,GANYURE WAGALLA,ALLIANCE FOR REAL CHANGE,Male
AHMED FATUMA OSMAN,WAJIR,169,TOWNSHIP,NATIONAL RAINBOW COALITION- KENYA,Female
AHMED HANTI KODELE,TANA RIVER,95,WAYU,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
AHMED HASSAN MAHAMED,WAJIR,167,GODOMA,PARTY OF NATIONAL UNITY,Male
AHMED HUSSEIN OSMAN,WAJIR,168,WAGBERI,SAFINA,Male
AHMED IDHA MARIE,TAITA TAVETA,128,MARUNGU,INDEPENDENT,Male
AHMED JOHN KIMANI,KIAMBU,606,KINALE,DEMOCRATIC PARTY OF KENYA,Male
AHMED MOHAMED SIYAD,GARISSA,141,BENANE,KENYA PATRIOTS PARTY,Male
AHMED MOHAMUD BISHAR,WAJIR,168,WAGBERI,NATIONAL RAINBOW COALITION- KENYA,Male
AHMED MUHUMED MOHAMED,WAJIR,181,DELLA,KENYA AFRICAN NATIONAL UNION,Male
AHMED MUSDAF ABDIRASHID,GARISSA,155,FAFI,JUBILEE PARTY,Male
AHMED NOOR ABDOW,MANDERA,217,FINO,SAFINA,Male
AHMED OMAR,TAITA TAVETA,127,KALOLENI,ORANGE DEMOCRATIC MOVEMENT,Male
AHMED SAAD SHEIKH,MANDERA,217,FINO,ECONOMIC FREEDOM PARTY,Male
AHMED SHUEB BARE,WAJIR,190,DIIF,KENYA AFRICAN NATIONAL UNION,Male
AHMED YUNIS HUDHOW,WAJIR,164,MALKAGUFU,JUBILEE PARTY,Male
AHUGA GRAHAM MURUNGA,VIHIGA,1052,SOUTH MARAGOLI,INDEPENDENT,Male
AIGA FRED MENGE,NYAMIRA,1364,NYANSIONGO,ORANGE DEMOCRATIC MOVEMENT,Male
AINEAH ALAN SIMIYU,TRANS NZOIA,685,TUWANI,INDEPENDENT,Male
AINEAH HELLAM ESIPIRAH,VIHIGA,1073,NORTH EAST BUNYORE,MAENDELEO DEMOCRATIC PARTY,Male
AINO IBRAHIM BUSENO,VIHIGA,1061,SHIRU,PROGRESSIVE PARTY OF KENYA,Male
AJANGA LAVING IMBUSY,NANDI,771,KAPKANGANI,PROGRESSIVE PARTY OF KENYA,Male
AJUALA JOHN OWINO,MIGORI,1266,SOUTH SAKWA,INDEPENDENT,Male
